"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNCode","Gender","AGE","Edu","WORK","AILiteracy[Use1]","AILiteracy[Use2]","AILiteracy[Use3]","AILiteracy[Use4]","AILiteracy[Use5]","AILiteracy[Use6]","AILiteracy[Kno1]","AILiteracy[Kno2]","AILiteracy[Kno3]","AILiteracy[Kno4]","AILiteracy[Kno5]","AILiteracy[Kno6]","AILiteracy[Det1]","AILiteracy[Det2]","AILiteracy[Det3]","AILiteracy[Eth1]","AILiteracy[Eth3]","PGAT[PGAT1]","PGAT[PGAT2]","PGAT[PGAT3]","NGAT[NGAT1]","NGAT[NGAT2]","NGAT[NGAT3]","CMV[SQ001]","CMV[SQ002]","CMV[SQ003]","NEO[E1R]","NEO[E2]","NEO[E3R]","NEO[E4]","NEO[V1R]","NEO[V2]","NEO[V3R]","NEO[V4R]","NEO[G1]","NEO[G2R]","NEO[G3]","NEO[G4]","NEO[N1]","NEO[N2R]","NEO[N3]","NEO[N4]","NEO[O1]","NEO[O2]","NEO[O3]","NEO[O4]","NEO[O5R]","ERK","LinktoTool","TEST","JC1[IStR1]","JC1[IStR2]","JC1[IStR3]","JC1[IStR4]","JC1[IStR5]","JC1[HRJD1]","JC1[HRJD2]","JC1[HRJD3]","JC1[ICJD1]","SE1","SDT1[SDT1]","SDT1[SDT2]","PROD1[SQ001]","TASKDIF1[SQ001]","MANI1","E2","JC2[2IStR1]","JC2[2IStR2]","JC2[2IStR3]","JC2[2IStR4]","JC2[2IStR5]","JC2[2HRJD1]","JC2[2HRJD2]","JC2[2HRJD5]","JC2[2HRJD6]","JC2[AC]","SE2","SDT2[2SDT1]","SDT2[2SDT2]","PROD2[SQ001]","TASKDIF2[SQ001]","MANI2","interviewtime","groupTime531","VPNCodeTime","GenderTime","AGETime","EduTime","WORKTime","AILiteracyTime","PGATTime","NGATTime","CMVTime","groupTime532","NEOTime","groupTime534","ERKTime","LinktoToolTime","TESTTime","groupTime533","JC1Time","SE1Time","SDT1Time","PROD1Time","TASKDIF1Time","MANI1Time","groupTime535","E2Time","groupTime536","JC2Time","SE2Time","SDT2Time","PROD2Time","TASKDIF2Time","MANI2Time"
"18","2024-03-06 11:17:14","6","de","468020420","2024-03-06 10:58:20","2024-03-06 11:17:14","AHO1006","Männlich","26","Bachelor","40","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft voll zu","Trifft gar nicht zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft voll zu","Trifft gar nicht zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft gar nicht zu","Trifft voll zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Teils, teils","Ja","","Ja","Trifft eher nicht zu","Trifft gar nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","100","Trifft eher nicht zu","Trifft eher nicht zu","Eher nicht zufriedenstellend","Eher schwierig","Ich musste eine Kommunikationsstrategie erstellen um Nachhaltigkeit im Unternehmen einzuführen. Hierzu hatte ich wenige Informationen und keine Hilfsmittel.","","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","20","Teils, teils","Trifft voll zu","Voll zufriedenstellend","Extrem leicht","Ich musste ein Konzept zum Thema digitale Transformation entwickeln und konnte dabei auch chatgpt als Hilfsmittel zugreifen.","492.56","168.38","","","","","","","","","","48.04","","9.41","","","","129.7","","","","","","","3.75","","133.28","","","","","",""
"19","2024-03-06 12:53:52","6","de","63043224","2024-03-06 12:13:14","2024-03-06 12:53:52","AWA2505","Weiblich","21","Abitur oder Fachabitur","20","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Trifft gar nicht zu","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft gar nicht zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft gar nicht zu","Ja","","Ja","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft eher nicht zu","Trifft voll zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","100","Teils, teils","Teils, teils","Eher nicht zufriedenstellend","Eher schwierig","Ich musste einen einwöchige Kommunikationsstrategie für ein Vorstandstreffen eines Unternehmens erstellen um Nachhaligkeit als neuen Kernwert einzuführen. Mir standen keine Hilfsmittel zur Verfügung.","","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","10","Trifft teilweise zu","Trifft voll zu","Teils, teils","Eher schwierig","Ich musste einen eintägigen Veranstaltungsplan erstellen für Führungskräfte zum über die digitale Transformation zu diskutieren. Mir stand ChatGPT zur Verfügung.","2440.29","193.46","","","","","","","","","","80.4","","906.77","","","","197.52","","","","","","","913.02","","149.12","","","","","",""
"20","2024-03-07 10:39:51","6","de","1018593392","2024-03-07 10:07:31","2024-03-07 10:39:51","EZA0703","Männlich","22","Abitur oder Fachabitur","10%","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Teils, teils","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Ja","","Ja","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","35","Teils, teils","Trifft teilweise zu","Eher zufriedenstellend","Eher leicht","Ziel war es einen One-Pager für eine Veranstaltung zu erstellen. Es war wichtig, dass die Veranstaltung informativ, aber auch gesellig ist. Zielgruppe waren Führungskräfte.

Hilfsmittel - AI-Chatbot","","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","100","Teils, teils","Trifft teilweise zu","Teils, teils","Eher schwierig","Ziel war es einen einwöchigen Workshop zum Thema Nachhaltigkeit als Kernwert zu erstellen. Dabei war es wichtig, die Veranstaltung informativ und interessant zu gestalten.

Es standen keine Hilfsmittel zur Verfügung.","1942.98","183.62","","","","","","","","","","78.63","","674.4","","","","184.98","","","","","","","669.74","","151.61","","","","","",""
"21","2024-03-07 12:02:52","6","de","45327585","2024-03-07 11:19:01","2024-03-07 12:02:52","AGU2207","Männlich","23","Bachelor","0","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Teils, teils","Trifft voll zu","Trifft teilweise zu","Teils, teils","Teils, teils","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft voll zu","Trifft gar nicht zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft eher nicht zu","Teils, teils","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Trifft voll zu","Ja","","Ja","Teils, teils","Teils, teils","Teils, teils","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft voll zu","Trifft gar nicht zu","50","Trifft eher nicht zu","Trifft voll zu","Teils, teils","Teils, teils","Ich sollte in der Aufgabe eine Strategie ausarbeiten durch die Nachhaltigkeit als neuer Kernwert in das Unternehmen aufgenommen werden soll. Dafür sollte ich eine Woche mit Aufgaben und Impulsen gestallten die sicherstellt, dass alle relevanten Stakeholder eingeschlossen werden. Ich konnte zur Bearbeitung ChatGPT als KI nutzen, die mir eine erste Vorlage für die Woche gegeben hat in die ich reinarbeiten konnte.","","Trifft teilweise zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft gar nicht zu","Trifft teilweise zu","100","Trifft eher nicht zu","Trifft eher nicht zu","Teils, teils","Teils, teils","Ich sollte einen Tag konzipieren bei dem Führungskräfte unserer Firma Impulse zur digitalen Transformation kriegen. Dafür habe ich den Ablauf des Tages konzipiert in dem durch verschiedene Workshops die Potenziale aufgezeigt werden sollte. KI hatte ich in dieser Aufgabe nicht als Unterstützung.","2634.58","157.65","","","","","","","","","","68.81","","1333.81","","","","237.58","","","","","","","5.01","","831.72","","","","","",""
"22","2024-03-07 14:17:40","6","de","1480525241","2024-03-07 13:34:55","2024-03-07 14:17:40","NPR1810","Weiblich","22","Bachelor","10%","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft gar nicht zu","Teils, teils","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft gar nicht zu","Ja","","Ja","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Teils, teils","Trifft voll zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","75","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Teils, teils","In der vorangegangenen Aufgabe musste ich einen Kommunikationsplan (für die kommende Wovche) erstellen, welcher eine von mir vorgeschlagene Strategie zur fördern von Nachhaltigkeit im Unternehmen und gegenüber der Unternehmensumwelt, namentlich durch geeignete Strategiemassnahmen, kommunizieren soll. Als Hilfsmittel stand mir die Chatfuntion von ChatGPT zur Verfügung, diese habe ich einmal zur ersten Ideenorientierung benutzt, und mich miti 3 Ideen auf sie berufen. ","","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft gar nicht zu","Trifft gar nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","100","Trifft teilweise zu","Trifft teilweise zu","Eher zufriedenstellend","Eher leicht","In der vorigen Aufgabe sollte ein Tagesprogramm für ein Workshop-ähnliches Format zur Weiterbildung von Führungskräften in Bezug auf digitale Transformation entwickelt werden. Bis auf die 3 beispielhaften Leitfragen in der Angabe standen keine Hilfsmittel zur Verfügung. ","2567.59","185.43","","","","","","","","","","71.91","","1189.71","","","","261.18","","","","","","","709.19","","150.17","","","","","",""
"23","2024-03-07 15:23:32","6","de","1614733985","2024-03-07 14:45:00","2024-03-07 15:23:32","RBO0106","Weiblich","18","Abitur oder Fachabitur","50","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Teils, teils","Teils, teils","Teils, teils","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Teils, teils","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft voll zu","Teils, teils","Trifft gar nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Teils, teils","Trifft teilweise zu","Ja","","Ja","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","5","Teils, teils","Trifft teilweise zu","Eher zufriedenstellend","Eher leicht","Ich musste fur meinen chef ein ein-woches lang kommunikationsplan machen. Chat Gpt hat mir geholfen um es zu machen. Es war schnell und ich musste nicht viel daruber denken. ","","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","100","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Ich hatte keine hilfsmittel. Ich mustte die aufgabe alleine lossen was langsamer war. Ohne hilfsmittel und nicht viele kentnisse uber das thema war es schwierig.","2313.88","357.81","","","","","","","","","","152.47","","624.02","","","","296.06","","","","","","","654.07","","229.45","","","","","",""
"24","2024-03-07 16:14:33","6","de","1818393684","2024-03-07 15:41:38","2024-03-07 16:14:33","DPR0408","Weiblich","33","Master","30","Teils, teils","Teils, teils","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft gar nicht zu","Trifft voll zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft eher nicht zu","Trifft teilweise zu","Ja","","Ja","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","90","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Eher leicht","Ich musste in kurzer Zeit für eine vorgesetzte Person einen Veranstaltungsentwurf bereitstellen und hatte Chat GPT als Unterstützung. Die Veranstaltung sollte für Führungskräfte sein und das Thema der digitalen Transformation behandeln.","","Trifft eher nicht zu","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft voll zu","Trifft gar nicht zu","Trifft gar nicht zu","Trifft teilweise zu","Trifft gar nicht zu","Trifft teilweise zu","80","Trifft eher nicht zu","Teils, teils","Eher zufriedenstellend","Eher schwierig","Ich musste für ein Unternehmen eine Kommunikationsstrategie für die Nachhaltigkeit entwickeln. Es standen mir Leitfragen, aber keine weiteren Hilfsmittel zur Verfügung.","1978.75","133.19","","","","","","","","","","78.82","","661.85","","","","184.9","","","","","","","7.78","","912.21","","","","","",""
"25","2024-03-08 10:14:15","6","de","824416399","2024-03-08 09:25:48","2024-03-08 10:14:15","EDE0211","Männlich","47","Master","60","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft gar nicht zu","Trifft voll zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft gar nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft gar nicht zu","Ja","","Ja","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","40","Trifft voll zu","Trifft teilweise zu","Eher zufriedenstellend","Teils, teils","Ich musste in einem One-Pager ein Nachhaltigkeitskonzept in wenigen Minuten erstellen. Dabei durfte ich die GPT als Unterstützung benutzen. ","","Teils, teils","Teils, teils","Trifft gar nicht zu","Teils, teils","Teils, teils","Teils, teils","Teils, teils","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","100","Trifft voll zu","Trifft teilweise zu","Eher zufriedenstellend","Eher schwierig","Ich musste in einem One-Pager ein kleines Event-Konzept zur digitalen Transformation für Führungskräfte erstellen. Dabei durfte ich keine Hilfsmittel verwenden bzw. habe absolut keine benützt. Dies unter Zeitdruck. ","2909.39","212.19","","","","","","","","","","95.56","","2282.76","","","","153.02","","","","","","","2.96","","162.9","","","","","",""
"26","2024-03-08 10:59:48","6","de","510624817","2024-03-08 10:28:09","2024-03-08 10:59:48","OBA0612","Weiblich","28","Master","70","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft voll zu","Trifft voll zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Teils, teils","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft eher nicht zu","Ja","","Ja","Trifft teilweise zu","","Trifft teilweise zu","Trifft teilweise zu","Trifft voll zu","","","","","100","Trifft voll zu","Teils, teils","Eher zufriedenstellend","Teils, teils","Ich sollte ein eintägige Veranstaltung für Vorstände planen die über Digitalisierung informiert werden sollten. Dabei hatte ich keine Hilfsmittel zur Verfügung","","Teils, teils","Teils, teils","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","40","Trifft eher nicht zu","Trifft teilweise zu","Eher zufriedenstellend","Teils, teils","Ich musste ein einwöchiges Seminar für Vorstände entwickeln um das Thema Nachhaltigkeit zu erarbeiten und sie zu animieren es in ihren unternehmen mehr umzusetzen. Ich hatte Chat GPT als Hilfsmittel.","1902.46","121.36","","","","","","","","","","50.81","","742.79","","","","153.31","","","","","","","708.22","","125.97","","","","","",""
"27","2024-03-08 11:44:15","6","de","1296593591","2024-03-08 11:16:01","2024-03-08 11:44:15","LCH0603","Männlich","19","Abitur oder Fachabitur","10%","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Teils, teils","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Teils, teils","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","Teils, teils","Teils, teils","Trifft eher nicht zu","Teils, teils","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Teils, teils","Trifft voll zu","Teils, teils","Trifft teilweise zu","Trifft gar nicht zu","Trifft voll zu","Trifft gar nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Trifft voll zu","Trifft eher nicht zu","Trifft voll zu","Trifft teilweise zu","Ja","","Ja","Trifft eher nicht zu","Trifft gar nicht zu","Trifft eher nicht zu","Trifft voll zu","Trifft voll zu","Trifft gar nicht zu","Trifft gar nicht zu","Trifft gar nicht zu","Trifft gar nicht zu","100","Trifft teilweise zu","Trifft voll zu","Voll zufriedenstellend","Eher leicht","Keine Hilfsmittel, ich musste einen Plan für eine eintägige Veranstaltung für Führungspositionen zum Thema digitale Transformation erstellen.","","Trifft gar nicht zu","Trifft gar nicht zu","Trifft eher nicht zu","Trifft gar nicht zu","Trifft voll zu","Trifft voll zu","Teils, teils","Trifft voll zu","Trifft voll zu","Trifft teilweise zu","10","Trifft eher nicht zu","Trifft voll zu","Gar nicht zufriedenstellend","Eher leicht","ChatGPT, ich musste eine einwöchige Kommunikationsstrategie für die Wichtigkeit des Themas 'Nachhaltigkeit' erstellen.","1698.77","206.29","","","","","","","","","","83.94","","798.45","","","","173.87","","","","","","","3.59","","432.63","","","","","",""
