ID,AGE,WORK,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Mittlere_Reife_Realschulabschluss,Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Master,Edu_Doktortitel,AILiteracyUse,AILiteracyKno,AILiteracyDet,AILiteracyEth,PGAT,NGAT,CMV,NEOE,NEOA,NEOC,NEON,NEOO,Group_Nr,Prompt_Support,JC1IStR,JC1HRJD,SE1,SDT1AUT,SDT1COM,PROD1,TASKDIF1,MANI1,JC2IStR,JC2HRJD,SE2,SDT2AUT,SDT2COM,PROD2,TASKDIF2,MANI2,All_Prompts,Prompt_Count,Average_Word_Count_Prompts,First_Prompt_Word_Count,Total_Word_Count_Prompt,time_total,time_demogr,time_pers,time_task1,time_survey1,time_task2,time_survey2
ZZEBA0308,25.0,100.0,False,True,False,False,False,True,False,False,5.0,4.666666666666667,4.333333333333333,2.5,5.0,4.0,3.6666666666666665,4.25,2.75,5.0,4.25,4.0,6.0,1,2.2,1.75,100.0,5,1,1,1,"Ich sollte eine Kommunikationsstrategie entwickeln für das Unternehmen, damit die Mitarbeiter ein besseres Verständnis über Nachhaltigkeit erhalten. Hierfür habe ich keine Hilfsmittel benutzt.",3.6,5.0,10.0,4,4,3,4,"Ich musste ein one pager erstellen für ein workshop. Hierfür hatte ich als Hilfsmittel Chatgpt und nutzte promts um einen Text zu verfassen,","Bitte hilf mir bei folgender aufgabe:\nEs ist Freitagnachmittag, die Vorgesetzte Ihres Chefs kommt auf Sie zu und fragt Sie, ob sie spontan für ein Vorstandsmeeting aushelfen können.\n\nEntwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\nZielsetzung:\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\nDie folgenden Fragen können helfen:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",1.0,116.0,116.0,116.0,21.02983333333333,4.679333333333333,1.3353333333333337,3.9676666666666662,0.0536666666666666,6.123166666666666,4.870666666666667
ZZNRO406,30.0,100.0,False,True,False,False,False,True,False,False,3.333333333333333,4.666666666666667,3.333333333333333,4.0,3.6666666666666665,4.666666666666667,3.6666666666666665,3.0,3.25,3.75,3.25,4.0,4.0,1,2.4,3.5,75.0,2,4,4,3,"Ich musste bei der Gestaltung eines Vorstandstreffens unterstützen und einen Plan entwickeln. Digitale Transformation war das Thema und zur Hilfe standen mit Informationen zum Thema und zusätzliche Frage, die ich mir stellen konnte/sollte.",3.8,4.0,10.0,2,4,2,3,"Mir stand ein generatives Textprogramm zur Verfügung, um einen Plan zu entwickeln. Es ging darum in einem einwöchigen Programm Nachhaltigkeit in der Firma zu besprechen und zu kommunizieren.","Moin, du sollst mir bitte freundlich aber seriös zur Seite stehen, während ich versuche, eine Aufgabe für die Arbeit zu lösen || Wir brauchen einen schriftlichen One-Pager für ein Vorstandsmeeting || Schreibe mir einen One Pager zum Thema: umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert",3.0,15.0,21.0,45.0,29.11116666666667,4.026833333333333,1.1076666666666666,9.116833333333334,4.5355,6.9505,3.373833333333333
ZZSSA0301,22.0,0.0,False,True,False,False,True,False,False,False,5.0,4.5,3.6666666666666665,4.0,4.333333333333333,1.6666666666666667,5.0,3.5,3.0,4.0,2.25,4.0,5.0,0,4.2,4.25,55.0,5,5,5,3,"Ich musste zunächst schnell die gegebene Situation einschätzen und dann suchte ich ein wenig Hilfe von KI um mich durch die Situation zu führen. Dabei verwendete ich Fragen um sicherzustellen, dass meine Antwort direkt und präzise war.",3.2,2.25,20.0,3,3,3,2,"Ich musste zunächst das Problem verstehen und dann Schlüsselpunkte identifizieren, um es zu lösen. Es war ziemlich verwirrend, aber ich habe mein Bestes gegeben.",0,0.0,0.0,0.0,0.0,25.566,5.850666666666667,1.538,6.448333333333333,2.7871666666666663,4.9975000000000005,3.944333333333333
ZZAWA0212,22.0,100.0,True,False,False,False,True,False,False,False,5.0,4.833333333333333,5.0,4.5,4.0,2.6666666666666665,2.6666666666666665,3.25,2.5,4.0,2.75,4.4,3.0,0,2.4,5.0,10.0,2,4,4,4,Einen One Pager zu einer Informationsveranstaltung verfassen. Hilfsmittel ChatGPT.,2.2,5.0,5.0,2,3,4,4,Einen One Pager zu einer einwöchigen Klimastrategie verfassen. Hilfsmittel ChatGPT.,"Bitte lösen Sie die folgende Aufgabe\nEs ist Freitagnachmittag, die Vorgesetzte Ihres Chefs kommt auf Sie zu und fragt Sie, ob sie spontan für ein Vorstandsmeeting aushelfen können.\n\nEntwickeln Sie eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\nSie haben 12 Minuten Zeit.\n\nZielsetzung\nDas Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\nDie Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\nDie Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.\nDie folgenden Fragen können helfen:\nWelche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen?",1.0,132.0,132.0,132.0,20.772666666666662,3.89,1.5015,5.711333333333333,3.5515,6.050666666666667,0.0676666666666666
ZZKO1608,37.0,100.0,True,False,False,False,False,True,False,False,4.166666666666667,3.6666666666666665,3.333333333333333,3.0,3.333333333333333,3.333333333333333,3.6666666666666665,2.75,2.5,3.25,2.5,2.8,2.0,1,3.8,3.25,60.0,3,4,4,2,Man muss der KI Inhalt noch mehr Beispiele nennen und man kann ein Chatbot als Hilfsmittel verwenden.,3.6,3.5,70.0,3,3,4,2,ich muss nur paar Sätzen an der KI Hilfsmittel angeben und dann abwarten. Allerdings dauert es ein bisschen länger als ich gedacht habe.,"Entwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren. Das Ziel\ndie Veranstaltung muss informativ und unterhaltsam sein. Die Fragen sollen das beinhaltet sein\nDie folgenden Fragen können helfen:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",1.0,54.0,54.0,54.0,19.773666666666667,4.368833333333333,0.8716666666666666,5.2283333333333335,3.0875,6.143,0.0743333333333333
ZZNWA1604,32.0,100.0,True,False,True,False,False,False,False,False,4.5,4.333333333333333,4.0,3.5,3.333333333333333,3.333333333333333,2.6666666666666665,3.0,3.75,3.75,3.0,3.6,1.0,0,3.8,2.25,100.0,5,5,3,2,In der vorherigen Aufgabe musste ich ein Konzept zur Nachhaltigkeit im Unternehmen erstellen. Dies sollte in einem Meeting vorgestellt werden und auf einige Fragen eingegangen werden. Als Hilfsmittel wurden mir Ziele und Fragen zur Verfügung gestellt.,4.0,4.5,10.0,3,4,5,4,Ich habe mithilfe von ChatGPT eine Präsentation erstellen müssen. ChatGPT hat mir geholfen die Präsentation a) zu erstellen und b) in die gewünschte Richtung zu leiten.,"Ich benötige einen One-Pager zum Thema digitale Transformation. Kannst du mir helfen? || Bitte passe die Präsentation so an, dass sie folgende Zielsetzung umfasst:\n1. Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\n2. Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\n\nFolgende Fragen müssen geklärt werden:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",2.0,44.5,12.0,89.0,34.89516666666667,4.1405,1.2511666666666663,14.063666666666668,5.800666666666667,9.554333333333334,0.0848333333333333
ZZALA3008,29.0,100.0,False,True,False,False,True,False,False,False,3.6666666666666665,4.0,3.333333333333333,3.5,3.6666666666666665,2.6666666666666665,3.6666666666666665,3.0,3.25,3.25,2.75,3.2,5.0,0,3.6,3.75,80.0,4,3,4,2,"Ich wurde gefragt ob ich spontan Zeit habe, für ein Vorstandsmeeting auszuhelfen. Ich sollte eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen, planen.
Mit 12 Minuten Zeitdruck und ohne Hilfsmittel.",3.6,4.25,50.0,4,4,3,4,"Ich wurde gefragt, ob ich spontan bei einem Vorstandsmeeting aushelfen könnte. Ein Konzept für eine eintägige Veranstaltung für Führungskräfte wurde angefragt. 12 Minuten Zeitlimit und eine KI standen mir zu Verfügung.","Hilf mir, ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren, zu machen. || Die Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden. || Entwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\nSie haben 12 Minuten Zeit.\n\nZielsetzung:\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\nDie folgenden Fragen können helfen:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",3.0,41.0,19.0,123.0,32.21183333333333,5.1146666666666665,1.409166666666667,8.749833333333333,1.2738333333333334,7.944333333333334,7.72
ZZUVI2004,30.0,100.0,True,False,False,False,False,False,True,False,4.333333333333333,4.166666666666667,4.333333333333333,5.0,4.0,3.333333333333333,5.0,3.5,3.0,4.0,3.5,4.0,5.0,0,4.4,4.0,50.0,3,4,3,4,"organisierte eine Vorstandssitzung über nachhaltigkeit, ihre Entwicklung und die Praktiken, die übernommen werden können.",4.6,5.0,60.0,4,5,4,3,Organisirien innerhalb eines zeitrahmens von 12 minuten ein meeting über den Einsatz von KI-Modellen in geschäftslösungen.,0,0.0,0.0,0.0,0.0,21.43383333333333,2.4136666666666664,0.8635,11.249666666666666,0.3365,3.4285,3.1420000000000003
ZZAUL2008,22.0,23.0,True,False,False,False,True,False,False,False,5.0,5.0,5.0,4.5,3.6666666666666665,2.6666666666666665,4.666666666666667,3.75,4.5,4.5,2.5,3.8,2.0,1,1.8,1.0,100.0,1,4,4,1,"Ich musste ein einwöchiges Kommunikationskonzept für ""meine Firma"" schreiben, welches Nachhaltigkeit als Kernpunkt beinhaltet. Dieses Konzept sollte soweit ausgefeilt sein, dass ich es jetzt in einem Vorstandsmeeting mit den anderen Vorständen präsentieren kann.",5.0,5.0,0.0,1,1,4,3,"Ich sollte eine Veranstaltung für Führungskräfte planen.
Diese Veranstaltung sollte unvergesslich sein.
Bei der Veranstaltung sollte die Digitalisierung besprochen werden.","Ich brauche unterstützung beim Verfassen eines One-Pagers. In diesem soll ein Konzept vorgestellt werden. Dieses Konzept stellt eine denkwürdige Veranstaltung für Führungskräfte vor, um die digitale Transformation zu diskutieren.\n\nWie schreibt man so einen One-Pager und was schreibe ich da rein?\n\nDas hier sind hinweise:\nZielsetzung:\n\n    Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\n\n    Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\n\nDie folgenden Fragen können helfen:\n\n    Wer ist das Zielpublikum?\n\n    Welche Themen wären für die Führungskräfte am relevantesten und interessantesten?\n\n    Welche Art von Erfahrung sollen die Führungskräfte machen?",1.0,112.0,112.0,112.0,32.611666666666665,5.902833333333334,1.1608333333333334,10.621666666666666,4.2335,9.972166666666668,0.7206666666666667
ZZRHA2012,26.0,10.0,False,True,False,False,False,True,False,False,5.0,4.0,3.0,2.5,4.0,2.6666666666666665,3.6666666666666665,3.75,3.0,3.75,2.75,3.4,4.0,1,3.2,3.5,100.0,4,5,5,4,"ich sollte eine Veranstaltung für Führungskräfte eines Untenehmens entwerfen, die über den Einsatz von KI informiert. Über Einsätze von Hilfmitteln war ich mir nicht bewusst und daher habe ich auch keine verwendet.",4.6,5.0,20.0,3,3,4,4,,0,0.0,0.0,0.0,0.0,19.17716666666667,2.8136666666666668,1.0935,8.2955,3.5176666666666665,2.0268333333333333,1.43
