id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;VPNCode;Gender;AGE;Edu;WORK;AILiteracy[Use1];AILiteracy[Use2];AILiteracy[Use3];AILiteracy[Use4];AILiteracy[Use5];AILiteracy[Use6];AILiteracy[Kno1];AILiteracy[Kno2];AILiteracy[Kno3];AILiteracy[Kno4];AILiteracy[Kno5];AILiteracy[Kno6];AILiteracy[Det1];AILiteracy[Det2];AILiteracy[Det3];AILiteracy[Eth1];AILiteracy[Eth3];PGAT[PGAT1];PGAT[PGAT2];PGAT[PGAT3];NGAT[NGAT1];NGAT[NGAT2];NGAT[NGAT3];CMV[SQ001];CMV[SQ002];CMV[SQ003];NEO[E1R];NEO[E2];NEO[E3R];NEO[E4];NEO[V1R];NEO[V2];NEO[V3R];NEO[V4R];NEO[G1];NEO[G2R];NEO[G3];NEO[G4];NEO[N1];NEO[N2R];NEO[N3];NEO[N4];NEO[O1];NEO[O2];NEO[O3];NEO[O4];NEO[O5R];ERK;LinktoTool;TEST;JC1[IStR1];JC1[IStR2];JC1[IStR3];JC1[IStR4];JC1[IStR5];JC1[HRJD1];JC1[HRJD2];JC1[HRJD3];JC1[ICJD1];JC1[ICJD2];SE1;SDT1[SDT1];SDT1[SDT2];PROD1[SQ001];TASKDIF1[SQ001];E2;JC2[2IStR1];JC2[2IStR2];JC2[2IStR3];JC2[2IStR4];JC2[2IStR5];JC2[2HRJD1];JC2[2HRJD2];JC2[2HRJD5];JC2[2HRJD6];JC2[AC];SE2;SDT2[2SDT1];SDT2[2SDT2];PROD2[SQ001];TASKDIF2[SQ001];MANI2;interviewtime;groupTime531;VPNCodeTime;GenderTime;AGETime;EduTime;WORKTime;AILiteracyTime;PGATTime;NGATTime;CMVTime;groupTime532;NEOTime;groupTime534;ERKTime;LinktoToolTime;TESTTime;groupTime533;JC1Time;SE1Time;SDT1Time;PROD1Time;TASKDIF1Time;groupTime535;E2Time;groupTime536;JC2Time;SE2Time;SDT2Time;PROD2Time;TASKDIF2Time;MANI2Time
2;28.02.2024 10:43;6;de;489428441;28.02.2024 10:08;28.02.2024 10:43;ABO2606;Männlich;22;Bachelor;25%;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Teils, teils;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Teils, teils;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Teils, teils;Teils, teils;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft voll zu;Teils, teils;Teils, teils;Trifft eher nicht zu;Trifft voll zu;Ja;;Ja;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Trifft voll zu;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;100;Trifft eher nicht zu;Teils, teils;Eher zufriedenstellend;Eher schwierig;;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft voll zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;20;Teils, teils;Trifft voll zu;Teils, teils;Eher leicht;"In der zweiten Aufgabe musste ich ein Konzept für eine eintägige Veranstaltung zum Thema ""Digitale Transformation"" für Führungskräfte erstellen. Hierbei konnte ich ChatGPT als Hilfsmittel nutzen, um mir Vorschläge für Themen, Events, und einen möglichen Zeitplan geben zu lassen. ";2102.32;548.05;;;;;;;;;;63.38;;718.85;;;;77.45;;;;;;4.01;;690.58;;;;;;
3;28.02.2024 13:05;6;de;193910323;28.02.2024 12:42;28.02.2024 13:05;APE2704;Männlich;20;Abitur oder Fachabitur;15;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft gar nicht zu;Trifft gar nicht zu;Teils, teils;Trifft gar nicht zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft voll zu;Trifft voll zu;Trifft gar nicht zu;Trifft voll zu;Trifft gar nicht zu;Trifft eher nicht zu;Trifft voll zu;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Ja;;Ja;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft voll zu;Teils, teils;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Teils, teils;100;Teils, teils;Trifft teilweise zu;Teils, teils;Eher leicht;;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;5;Teils, teils;Trifft voll zu;Eher zufriedenstellend;Eher leicht;Ich musste einen Plan für eine einwöchige Veranstaltung in einem Unternehmen zum Thema nachhaltige Vision und nachhaltige Ziele entwickeln. Als Hilfsmittel habe ich Chatgpt Support verwendet.;1390.16;151.85;;;;;;;;;;75.46;;382.35;;;;86.59;;;;;;10.81;;683.1;;;;;;
4;28.02.2024 14:12;6;de;29352144;28.02.2024 13:38;28.02.2024 14:12;SSG0102;Männlich;20;Abitur oder Fachabitur;20%;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft gar nicht zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft voll zu;Teils, teils;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft gar nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft gar nicht zu;Ja;;Ja;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft voll zu;Teils, teils;Trifft voll zu;Teils, teils;Teils, teils;Trifft teilweise zu;70;Trifft voll zu;Trifft eher nicht zu;Eher nicht zufriedenstellend;Teils, teils;;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft gar nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;80;Trifft teilweise zu;Trifft teilweise zu;Eher zufriedenstellend;Teils, teils;Ich musste einen Abend organisieren für eine ein-wöchige Kommunikations Camp welches den Fokus auf Nachhaltigkeit Setzte. Als Hilfsmittel wurde ChatGPT zur Verfügung gestellt worden.;2071.51;215.74;;;;;;;;;;78.09;;625.98;;;;99.5;;;;;;894.66;;157.54;;;;;;
5;28.02.2024 15:32;6;de;1443700134;28.02.2024 14:46;28.02.2024 15:32;ECH2807;Männlich;21;Abitur oder Fachabitur;30;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft eher nicht zu;Trifft gar nicht zu;Trifft voll zu;Trifft gar nicht zu;Trifft voll zu;Trifft gar nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft gar nicht zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft voll zu;Trifft voll zu;Teils, teils;Trifft voll zu;Trifft eher nicht zu;Ja;;Ja;Trifft teilweise zu;Teils, teils;Trifft gar nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft eher nicht zu;Teils, teils;100;Trifft voll zu;Trifft teilweise zu;Eher zufriedenstellend;Teils, teils;;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;70;Teils, teils;Trifft voll zu;Eher zufriedenstellend;Teils, teils;"Ich musste für ein Unternehmen, über das ich keine weiteren Informationen besass, einen Marketing-Plan erstellen. Dieser Plan sollte kommunizieren, wie wichtig Nachhaltigkeit für das Unternehmen ist - ggü. internen und externen Stakeholdern. Dabei half mir ChatGPT, das v.a. lange ""Schreibaufgaben"" übernahm.";2776.79;103.03;;;;;;;;;;36.65;;1299.85;;;;53.53;;;;;;1174.46;;109.27;;;;;;
6;29.02.2024 09:15;6;de;2009257017;29.02.2024 08:47;29.02.2024 09:15;AST1210;Männlich;25;Abgeschlossene Berufsausbildung;60%;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft gar nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Teils, teils;Trifft gar nicht zu;Trifft voll zu;Trifft gar nicht zu;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Ja;;Ja;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;100;Trifft voll zu;Trifft teilweise zu;Eher zufriedenstellend;Eher schwierig;;Teils, teils;Trifft voll zu;Trifft teilweise zu;Trifft gar nicht zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;15;Trifft teilweise zu;Trifft voll zu;Teils, teils;Eher leicht;In der zweiten Aufgabe ging es um eine einwöchige Kommunikationsstrategie, welche zum Ziel hatte, den für das Unternehmen neu eingeführten Kernwert der Nachhaltigkeit, den wichtigsten Anspruchsgruppen mitzuteilen. Als Hilfsmittel stand dabei ChatGPT zur Verfügung.;1686.12;208.25;;;;;;;;;;70.73;;744.76;;;;98.07;;;;;;386.73;;177.58;;;;;;
7;29.02.2024 10:17;6;de;1769357595;29.02.2024 09:43;29.02.2024 10:17;IHE1103;Männlich;24;Bachelor;20%;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Teils, teils;Trifft gar nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Trifft gar nicht zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft eher nicht zu;Trifft gar nicht zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft gar nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Teils, teils;Teils, teils;Trifft teilweise zu;Ja;;Ja;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;75;Trifft teilweise zu;Teils, teils;Eher zufriedenstellend;Eher schwierig;;Trifft voll zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;20;Trifft teilweise zu;Trifft voll zu;Voll zufriedenstellend;Eher leicht;Ich sollte eine eintägige Veranstaltung aufsetzen, bei der Führungskräfte in das Thema digitale Transformation eingeführt werden. Dabei ging es darum informativ aber auch unterhaltsam zu sein. Zur Hilfestellung durfte ich ChatGPT benutzen.;2066.31;216.7;;;;;;;;;;87.98;;803.78;;;;108.2;;;;;;679.52;;170.13;;;;;;
8;29.02.2024 11:08;6;de;1854004409;29.02.2024 10:39;29.02.2024 11:08;OME0709;Männlich;22;Abitur oder Fachabitur;50%;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft gar nicht zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft gar nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Trifft voll zu;Trifft voll zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Ja;;Ja;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;70;Trifft voll zu;Trifft voll zu;Eher zufriedenstellend;Teils, teils;;Teils, teils;Teils, teils;Trifft voll zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;50;Trifft voll zu;Trifft voll zu;Eher zufriedenstellend;Eher schwierig;In der zweiten Aufgabe musste man für den eigenen Chef eine einwochige Strategie entwickeln, in der Mitarbeitende der Firma neue Technologien kennenlernen sollten. In der zweiten Aufgabe, in gegensatz zu der erste war es möglich sich mit Chat-GPT zu helfen um die Aufgabe zu lösen.;1755.12;194.45;;;;;;;;;;99.88;;39.11;;;;642.99;;;;;;508.55;;270.14;;;;;;
9;29.02.2024 12:30;6;de;1410697123;29.02.2024 11:46;29.02.2024 12:30;NBA0408;Männlich;20;Abitur oder Fachabitur;50;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft voll zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft gar nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft voll zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Teils, teils;Ja;;Ja;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Trifft voll zu;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Teils, teils;Trifft teilweise zu;100;Teils, teils;Trifft teilweise zu;Teils, teils;Eher leicht;;Teils, teils;Trifft eher nicht zu;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;40;Trifft voll zu;Trifft voll zu;Voll zufriedenstellend;Eher leicht;Ich habe mittels einer OPENAI einen Text generiert. Die KI hat in meinem Auftrag und nach meinen vorstellungen eine neue Kommunikationsstrategie geschrieben. Im Nachhinein konnte ich textstellen, die ich nicht mochte, nochmals selber anpassen. ;2661.04;206.83;;;;;;;;;;100.54;;1212.89;;;;109.75;;;;;;826.98;;204.05;;;;;;
10;01.03.2024 09:15;6;de;2012266537;01.03.2024 08:45;01.03.2024 09:15;AOD2103;Männlich;25;Bachelor;60;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Teils, teils;Trifft voll zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Ja;;Ja;Trifft teilweise zu;Teils, teils;Trifft eher nicht zu;Trifft eher nicht zu;Teils, teils;Teils, teils;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;100;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Eher leicht;;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;30;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Teils, teils;Ich musste eine Verantstaltung über digitale Transformation für Fuehrungskraefte im Unternehmen organisieren. Dabei hatte ich ChatGPT als Hilfsmittel für die Vorbereitung.;1846.47;158.88;;;;;;;;;;72.48;;848.6;;;;95.88;;;;;;513.07;;157.56;;;;;;
11;01.03.2024 10:18;6;de;431568329;01.03.2024 09:42;01.03.2024 10:18;IME0910;Weiblich;27;Bachelor;100;Trifft teilweise zu;Trifft voll zu;Trifft eher nicht zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Trifft voll zu;Teils, teils;Trifft teilweise zu;Trifft gar nicht zu;Trifft eher nicht zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Teils, teils;Teils, teils;Trifft eher nicht zu;Trifft gar nicht zu;Teils, teils;Teils, teils;Trifft teilweise zu;Trifft eher nicht zu;Teils, teils;Trifft eher nicht zu;Trifft teilweise zu;Ja;;Ja;Trifft teilweise zu;Trifft teilweise zu;Trifft eher nicht zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;Trifft teilweise zu;80;Teils, teils;Trifft eher nicht zu;Eher zufriedenstellend;Eher schwierig;;Trifft voll zu;Trifft teilweise zu;Trifft teilweise zu;Trifft voll zu;Teils, teils;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft voll zu;Trifft teilweise zu;95;Teils, teils;Trifft voll zu;Eher zufriedenstellend;Eher leicht;Ich musste nur denken wie könnte ich die Aufgabe zum ChatGPT geben und zu klar zu sein , dann es konnte besser machen. Ich habe geschrieben was ich brauchte und er hat die richtige Antwort gegeben. ;2167.36;265.71;;;;;;;;;;132.78;;761.15;;;;169.08;;;;;;10.18;;828.46;;;;;;
