VPNCode,AGE,WORK,AILiteracy[Use1],AILiteracy[Use2],AILiteracy[Use3],AILiteracy[Use4],AILiteracy[Use5],AILiteracy[Use6],AILiteracy[Kno1],AILiteracy[Kno2],AILiteracy[Kno3],AILiteracy[Kno4],AILiteracy[Kno5],AILiteracy[Kno6],AILiteracy[Det1],AILiteracy[Det2],AILiteracy[Det3],AILiteracy[Eth1],AILiteracy[Eth3],PGAT[PGAT1],PGAT[PGAT2],PGAT[PGAT3],NGAT[NGAT1],NGAT[NGAT2],NGAT[NGAT3],CMV[SQ001],CMV[SQ002],CMV[SQ003],NEO[E1R],NEO[E2],NEO[E3R],NEO[E4],NEO[V1R],NEO[V2],NEO[V3R],NEO[V4R],NEO[G1],NEO[G2R],NEO[G3],NEO[G4],NEO[N1],NEO[N2R],NEO[N3],NEO[N4],NEO[O1],NEO[O2],NEO[O3],NEO[O4],NEO[O5R],JC1[IStR1],JC1[IStR2],JC1[IStR3],JC1[IStR4],JC1[IStR5],JC1[HRJD1],JC1[HRJD2],JC1[HRJD3],JC1[ICJD1],JC1[ICJD2],SE1,SDT1[SDT1],SDT1[SDT2],PROD1[SQ001],TASKDIF1[SQ001],JC2[2IStR1],JC2[2IStR2],JC2[2IStR3],JC2[2IStR4],JC2[2IStR5],JC2[2HRJD1],JC2[2HRJD2],JC2[2HRJD5],JC2[2HRJD6],SE2,SDT2[2SDT1],SDT2[2SDT2],PROD2[SQ001],TASKDIF2[SQ001],MANI2,interviewtime,groupTime531,groupTime532,groupTime534,groupTime533,groupTime535,groupTime536,total_time,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Abitur_oder_Fachabitur,Edu_Bachelor
ABO2606,22,25.0,3,4,3,3,3,3,4,3,3,4,3,3,4,4,4,3,2,3,5,4,2,4,2,4,5,5,3,3,2,3,2,4,3,3,5,2,4,4,2,4,2,2,5,3,3,2,5,2,2,2,3,5,2,2,3,2,4,100,2,3,4,2,3,2,4,2,3,5,3,4,4,20,3,5,3,4,"In der zweiten Aufgabe musste ich ein Konzept für eine eintägige Veranstaltung zum Thema ""Digitale Transformation"" für Führungskräfte erstellen. Hierbei konnte ich ChatGPT als Hilfsmittel nutzen, um mir Vorschläge für Themen, Events, und einen möglichen Zeitplan geben zu lassen. ",35.03866666666667,9.134166666666665,1.0563333333333333,11.980833333333333,1.2908333333333333,0.06683333333333333,11.509666666666668,35.0,1,0,0,0,1
APE2704,20,15.0,5,5,5,5,5,5,5,5,4,5,5,5,3,3,4,4,3,3,4,5,4,2,4,2,3,1,1,3,1,4,3,2,4,4,4,2,5,5,1,5,1,2,5,3,4,3,3,2,2,4,2,5,3,2,2,3,3,100,3,4,3,4,5,4,5,4,5,5,4,5,2,5,3,5,4,4,Ich musste einen Plan für eine einwöchige Veranstaltung in einem Unternehmen zum Thema nachhaltige Vision und nachhaltige Ziele entwickeln. Als Hilfsmittel habe ich Chatgpt Support verwendet.,23.169333333333334,2.5308333333333333,1.2576666666666665,6.3725000000000005,1.4431666666666667,0.18016666666666667,11.385,23.0,1,0,0,1,0
SSG0102,20,20.0,5,4,4,4,4,2,5,2,4,5,5,5,4,2,4,2,2,4,4,2,3,1,3,4,4,3,2,5,3,5,4,2,4,4,4,4,4,2,1,4,2,2,5,4,5,5,1,4,4,4,2,5,3,5,3,3,4,70,5,2,2,3,5,5,5,5,5,4,1,2,4,80,4,4,4,3,Ich musste einen Abend organisieren für eine ein-wöchige Kommunikations Camp welches den Fokus auf Nachhaltigkeit Setzte. Als Hilfsmittel wurde ChatGPT zur Verfügung gestellt worden.,34.52516666666667,3.595666666666667,1.3015,10.433,1.6583333333333334,14.911,2.6256666666666666,34.00000000000001,1,0,0,1,0
ECH2807,21,30.0,4,4,4,4,4,4,5,5,4,5,4,4,5,5,4,2,4,2,4,4,3,2,5,5,5,2,1,5,1,5,1,5,4,4,3,4,3,3,1,4,3,2,5,5,3,5,2,4,3,1,4,5,4,3,3,2,3,100,5,4,4,3,4,2,4,5,4,5,3,2,5,70,3,5,4,3,"Ich musste für ein Unternehmen, über das ich keine weiteren Informationen besass, einen Marketing-Plan erstellen. Dieser Plan sollte kommunizieren, wie wichtig Nachhaltigkeit für das Unternehmen ist - ggü. internen und externen Stakeholdern. Dabei half mir ChatGPT, das v.a. lange ""Schreibaufgaben"" übernahm.",46.279833333333336,1.7171666666666667,0.6108333333333333,21.664166666666667,0.8921666666666667,19.574333333333335,1.8211666666666666,46.0,1,0,0,1,0
AST1210,25,60.0,5,4,4,4,4,4,4,4,2,3,5,5,4,5,3,2,4,1,4,4,2,4,4,5,5,3,1,5,1,5,2,4,5,5,3,3,4,5,2,2,4,4,5,5,5,4,2,4,4,5,5,4,4,3,4,4,5,100,5,4,4,2,3,5,4,1,3,5,5,5,5,15,4,5,3,4,"In der zweiten Aufgabe ging es um eine einwöchige Kommunikationsstrategie, welche zum Ziel hatte, den für das Unternehmen neu eingeführten Kernwert der Nachhaltigkeit, den wichtigsten Anspruchsgruppen mitzuteilen. Als Hilfsmittel stand dabei ChatGPT zur Verfügung.",28.101999999999997,3.470833333333333,1.1788333333333334,12.412666666666667,1.6344999999999998,6.4455,2.9596666666666667,28.0,1,0,1,0,0
IHE1103,24,20.0,2,5,4,4,5,4,3,1,4,4,5,4,2,2,4,3,1,5,5,5,2,1,3,5,5,5,2,4,1,4,4,4,4,4,4,4,3,4,4,2,2,4,5,5,3,3,4,2,4,4,4,4,2,3,2,2,4,75,4,3,4,2,5,3,5,5,4,5,5,5,5,20,4,5,5,4,"Ich sollte eine eintägige Veranstaltung aufsetzen, bei der Führungskräfte in das Thema digitale Transformation eingeführt werden. Dabei ging es darum informativ aber auch unterhaltsam zu sein. Zur Hilfestellung durfte ich ChatGPT benutzen.",34.4385,3.6116666666666664,1.4663333333333335,13.396333333333333,1.8033333333333335,11.325333333333333,2.8355,34.00000000000001,1,0,0,0,1
OME0709,22,50.0,5,4,4,5,4,4,2,4,5,4,1,4,4,3,2,4,4,1,2,4,3,4,3,4,5,4,4,3,4,3,3,4,2,2,3,2,2,5,4,2,4,3,5,5,3,2,4,4,5,5,4,5,2,2,2,4,3,70,5,5,4,3,3,3,5,3,5,5,2,5,4,50,5,5,4,2,"In der zweiten Aufgabe musste man für den eigenen Chef eine einwochige Strategie entwickeln, in der Mitarbeitende der Firma neue Technologien kennenlernen sollten. In der zweiten Aufgabe, in gegensatz zu der erste war es möglich sich mit Chat-GPT zu helfen um die Aufgabe zu lösen.",29.252,3.2408333333333332,1.6646666666666665,0.6518333333333334,10.7165,8.475833333333334,4.5023333333333335,29.0,1,0,0,1,0
NBA0408,20,50.0,5,5,5,5,5,5,4,4,3,4,5,5,4,4,4,3,2,4,4,5,2,2,2,5,5,4,2,4,2,5,2,4,2,2,4,4,3,4,1,4,2,2,5,4,5,3,3,2,2,2,3,5,2,2,3,3,4,100,3,4,3,4,3,2,3,4,5,5,4,2,4,40,5,5,5,4,"Ich habe mittels einer OPENAI einen Text generiert. Die KI hat in meinem Auftrag und nach meinen vorstellungen eine neue Kommunikationsstrategie geschrieben. Im Nachhinein konnte ich textstellen, die ich nicht mochte, nochmals selber anpassen. ",44.35066666666667,3.447166666666667,1.6756666666666669,20.214833333333335,1.8291666666666666,13.783,3.4008333333333334,44.0,1,0,0,1,0
AOD2103,25,60.0,4,3,3,4,4,3,3,4,3,4,5,5,4,3,4,3,4,4,4,5,4,4,3,4,4,2,2,4,5,3,4,4,3,3,4,3,5,4,3,4,4,3,3,4,4,3,3,4,3,2,2,3,3,5,4,4,4,100,2,4,3,4,4,3,4,3,5,5,4,3,4,30,2,4,3,3,Ich musste eine Verantstaltung über digitale Transformation für Fuehrungskraefte im Unternehmen organisieren. Dabei hatte ich ChatGPT als Hilfsmittel für die Vorbereitung.,30.7745,2.648,1.208,14.143333333333334,1.5979999999999999,8.551166666666667,2.626,30.0,1,0,0,0,1
IME0910,27,100.0,4,5,2,5,5,4,3,4,4,5,5,4,4,3,5,3,4,1,2,3,3,4,2,4,4,4,2,3,2,4,2,4,3,3,4,4,3,3,2,1,3,3,4,2,3,2,4,4,4,2,4,5,3,4,4,4,4,80,3,2,4,2,5,4,4,5,3,5,5,5,5,95,3,5,4,4,"Ich musste nur denken wie könnte ich die Aufgabe zum ChatGPT geben und zu klar zu sein , dann es konnte besser machen. Ich habe geschrieben was ich brauchte und er hat die richtige Antwort gegeben. ",36.12266666666667,4.4285,2.213,12.685833333333333,2.818,0.16966666666666666,13.807666666666668,36.0,0,1,0,0,1
