VPNCode;AGE;WORK;AILiteracy[Use1];AILiteracy[Use2];AILiteracy[Use3];AILiteracy[Use4];AILiteracy[Use5];AILiteracy[Use6];AILiteracy[Kno1];AILiteracy[Kno2];AILiteracy[Kno3];AILiteracy[Kno4];AILiteracy[Kno5];AILiteracy[Kno6];AILiteracy[Det1];AILiteracy[Det2];AILiteracy[Det3];AILiteracy[Eth1];AILiteracy[Eth3];PGAT[PGAT1];PGAT[PGAT2];PGAT[PGAT3];NGAT[NGAT1];NGAT[NGAT2];NGAT[NGAT3];CMV[SQ001];CMV[SQ002];CMV[SQ003];NEO[E1R];NEO[E2];NEO[E3R];NEO[E4];NEO[V1R];NEO[V2];NEO[V3R];NEO[V4R];NEO[G1];NEO[G2R];NEO[G3];NEO[G4];NEO[N1];NEO[N2R];NEO[N3];NEO[N4];NEO[O1];NEO[O2];NEO[O3];NEO[O4];NEO[O5R];JC1[IStR1];JC1[IStR2];JC1[IStR3];JC1[IStR4];JC1[IStR5];JC1[HRJD1];JC1[HRJD2];JC1[HRJD3];JC1[ICJD1];SE1;SDT1[SDT1];SDT1[SDT2];PROD1[SQ001];TASKDIF1[SQ001];MANI1;JC2[2IStR1];JC2[2IStR2];JC2[2IStR3];JC2[2IStR4];JC2[2IStR5];JC2[2HRJD1];JC2[2HRJD2];JC2[2HRJD5];JC2[2HRJD6];JC2[AC];SE2;SDT2[2SDT1];SDT2[2SDT2];PROD2[SQ001];TASKDIF2[SQ001];MANI2;interviewtime;groupTime531;groupTime532;groupTime534;groupTime533;groupTime535;groupTime536;total_time;Gender_Männlich;Gender_Weiblich;Edu_Abitur_oder_Fachabitur;Edu_Bachelor;Edu_Master
AHO1006;26;40;4;5;4;5;5;5;5;4;5;4;5;5;4;4;4;4;3;4;4;5;2;2;2;5;5;4;1;5;1;5;4;4;4;4;4;2;4;5;1;4;1;1;5;4;2;3;3;2;1;2;2;5;3;2;2;2;100;2;2;2;2;Ich musste eine Kommunikationsstrategie erstellen um Nachhaltigkeit im Unternehmen einzuführen. Hierzu hatte ich wenige Informationen und keine Hilfsmittel.;2;2;4;1;5;5;5;5;5;4;20;3;5;5;5;Ich musste ein Konzept zum Thema digitale Transformation entwickeln und konnte dabei auch chatgpt als Hilfsmittel zugreifen.;8.209333333;2.806333333;0.800666667;0.156833333;2.161666667;0.0625;2.221333333;18.9;1;0;0;1;0
AWA2505;21;20;4;4;3;4;4;4;2;4;2;4;4;5;3;2;4;2;3;4;4;4;4;2;3;4;5;3;2;4;1;3;2;4;2;2;4;3;3;4;1;4;3;3;5;4;5;5;1;3;3;4;2;5;2;2;2;2;100;3;3;2;2;Ich musste einen einwöchige Kommunikationsstrategie für ein Vorstandstreffen eines Unternehmens erstellen um Nachhaligkeit als neuen Kernwert einzuführen. Mir standen keine Hilfsmittel zur Verfügung.;2;2;5;3;4;5;5;4;4;4;10;4;5;3;2;Ich musste einen eintägigen Veranstaltungsplan erstellen für Führungskräfte zum über die digitale Transformation zu diskutieren. Mir stand ChatGPT zur Verfügung.;40.6715;3.224333333;1.34;15.11283333;3.292;15.217;2.485333333;40.63333333;0;1;1;0;0
EZA0703;22;10;4;5;5;5;3;3;4;3;4;4;5;5;3;3;4;3;3;4;4;5;3;3;3;4;5;4;3;3;4;3;2;4;3;3;4;2;4;4;2;3;4;3;4;5;4;4;2;3;4;5;4;5;4;4;5;5;35;3;4;4;4;Ziel war es einen One-Pager für eine Veranstaltung zu erstellen. Es war wichtig, dass die Veranstaltung informativ, aber auch gesellig ist. Zielgruppe waren Führungskräfte. Hilfsmittel - AI-Chatbot;3;4;3;4;5;2;2;2;2;4;100;3;4;3;2;Ziel war es einen einwöchigen Workshop zum Thema Nachhaltigkeit als Kernwert zu erstellen. Dabei war es wichtig, die Veranstaltung informativ und interessant zu gestalten. Es standen keine Hilfsmittel zur Verfügung.;32.383;3.060333333;1.3105;11.24;3.083;11.16233333;2.526833333;32.33333333;1;0;1;0;0
AGU2207;23;0;5;4;4;4;4;4;4;2;3;3;5;4;3;3;3;2;3;5;5;5;3;4;3;5;5;4;1;5;1;5;4;4;1;2;3;5;3;2;3;3;4;5;5;5;3;2;5;3;3;3;5;4;4;2;5;1;50;2;5;3;3;Ich sollte in der Aufgabe eine Strategie ausarbeiten durch die Nachhaltigkeit als neuer Kernwert in das Unternehmen aufgenommen werden soll. Dafür sollte ich eine Woche mit Aufgaben und Impulsen gestallten die sicherstellt, dass alle relevanten Stakeholder eingeschlossen werden. Ich konnte zur Bearbeitung ChatGPT als KI nutzen, die mir eine erste Vorlage für die Woche gegeben hat in die ich reinarbeiten konnte.;4;2;2;2;5;3;2;3;1;4;100;2;2;3;3;Ich sollte einen Tag konzipieren bei dem Führungskräfte unserer Firma Impulse zur digitalen Transformation kriegen. Dafür habe ich den Ablauf des Tages konzipiert in dem durch verschiedene Workshops die Potenziale aufgezeigt werden sollte. KI hatte ich in dieser Aufgabe nicht als Unterstützung.;43.90966667;2.6275;1.146833333;22.23016667;3.959666667;0.0835;13.862;43.85;1;0;0;1;0
NPR1810;22;10;4;4;3;4;3;3;4;4;2;5;4;4;4;3;3;2;2;2;3;4;3;4;3;2;2;1;3;4;2;4;4;3;4;4;5;2;4;5;2;2;4;3;5;5;4;5;1;2;2;2;3;5;3;3;2;4;75;4;4;3;3;In der vorangegangenen Aufgabe musste ich einen Kommunikationsplan (für die kommende Wovche) erstellen, welcher eine von mir vorgeschlagene Strategie zur fördern von Nachhaltigkeit im Unternehmen und gegenüber der Unternehmensumwelt, namentlich durch geeignete Strategiemassnahmen, kommunizieren soll. Als Hilfsmittel stand mir die Chatfuntion von ChatGPT zur Verfügung, diese habe ich einmal zur ersten Ideenorientierung benutzt, und mich miti 3 Ideen auf sie berufen.;3;2;4;4;5;1;1;2;2;4;100;4;4;4;4;In der vorigen Aufgabe sollte ein Tagesprogramm für ein Workshop-ähnliches Format zur Weiterbildung von Führungskräften in Bezug auf digitale Transformation entwickelt werden. Bis auf die 3 beispielhaften Leitfragen in der Angabe standen keine Hilfsmittel zur Verfügung.;42.79316667;3.0905;1.1985;19.8285;4.353;11.81983333;2.502833333;42.75;0;1;0;1;0
RBO0106;18;50;4;4;4;4;3;3;3;3;3;5;5;4;4;4;5;3;4;2;3;3;4;3;3;4;5;3;1;4;2;4;3;4;3;4;3;3;4;5;2;3;3;2;4;4;5;3;4;3;3;2;2;2;5;5;5;5;5;3;4;4;4;Ich musste fur meinen chef ein ein-woches lang kommunikationsplan machen. Chat Gpt hat mir geholfen um es zu machen. Es war schnell und ich musste nicht viel daruber denken.;4;4;4;4;5;2;3;2;2;4;100;3;4;3;3;Ich hatte keine hilfsmittel. Ich mustte die aufgabe alleine lossen was langsamer war. Ohne hilfsmittel und nicht viele kentnisse uber das thema war es schwierig.;38.56466667;5.9635;2.541166667;10.40033333;4.934333333;10.90116667;3.824166667;38.53333333;0;1;1;0;0
DPR0408;33;30;3;3;3;2;3;2;3;4;3;4;3;3;3;4;4;3;4;3;3;4;3;2;2;4;4;2;4;4;4;2;1;5;4;2;2;3;4;5;2;4;2;2;5;5;3;2;4;3;4;3;4;5;5;5;5;5;90;4;4;3;4;Ich musste in kurzer Zeit für eine vorgesetzte Person einen Veranstaltungsentwurf bereitstellen und hatte Chat GPT als Unterstützung. Die Veranstaltung sollte für Führungskräfte sein und das Thema der digitalen Transformation behandeln.;2;3;2;3;5;1;1;4;1;4;80;2;3;4;2;Ich musste für ein Unternehmen eine Kommunikationsstrategie für die Nachhaltigkeit entwickeln. Es standen mir Leitfragen, aber keine weiteren Hilfsmittel zur Verfügung.;32.97916667;2.219833333;1.313666667;11.03083333;3.081666667;0.129666667;15.2035;32.91666667;0;1;0;0;1
EDE0211;47;60;5;5;5;5;5;5;4;3;3;4;4;4;4;4;5;5;3;5;5;5;4;2;3;4;4;3;1;5;3;4;4;5;1;4;4;4;3;4;4;2;4;4;5;5;5;5;1;5;4;5;5;3;5;5;4;4;40;5;4;4;3;Ich musste in einem One-Pager ein Nachhaltigkeitskonzept in wenigen Minuten erstellen. Dabei durfte ich die GPT als Unterstützung benutzen.;3;3;1;3;3;3;3;4;3;4;100;5;4;4;2;Ich musste in einem One-Pager ein kleines Event-Konzept zur digitalen Transformation für Führungskräfte erstellen. Dabei durfte ich keine Hilfsmittel verwenden bzw. habe absolut keine benützt. Dies unter Zeitdruck.;48.48983333;3.5365;1.592666667;38.046;2.550333333;0.049333333;2.715;48.45;1;0;0;0;1
OBA0612;28;70;5;5;5;5;5;5;4;5;4;5;4;5;3;3;4;4;4;4;5;5;4;2;4;5;5;3;5;5;3;3;2;5;5;4;5;2;5;5;3;3;5;5;5;5;5;5;2;4;;4;4;5;;;;;100;5;3;4;3;Ich sollte ein eintägige Veranstaltung für Vorstände planen die über Digitalisierung informiert werden sollten. Dabei hatte ich keine Hilfsmittel zur Verfügung;3;3;2;5;5;4;4;4;4;4;40;2;4;4;3;Ich musste ein einwöchiges Seminar für Vorstände entwickeln um das Thema Nachhaltigkeit zu erarbeiten und sie zu animieren es in ihren unternehmen mehr umzusetzen. Ich hatte Chat GPT als Hilfsmittel.;31.70766667;2.022666667;0.846833333;12.37983333;2.555166667;11.80366667;2.0995;31.65;0;1;0;0;1
LCH0603;19;10;4;4;3;4;4;4;3;4;3;3;5;5;4;3;3;2;3;3;4;4;3;3;3;5;5;5;4;3;3;2;3;4;4;4;3;5;3;4;1;5;1;2;4;5;2;5;4;2;1;2;5;5;1;1;1;1;100;4;5;5;4;Keine Hilfsmittel, ich musste einen Plan für eine eintägige Veranstaltung für Führungspositionen zum Thema digitale Transformation erstellen.;1;1;2;1;5;5;3;5;5;4;10;2;5;1;4;ChatGPT, ich musste eine einwöchige Kommunikationsstrategie für die Wichtigkeit des Themas 'Nachhaltigkeit' erstellen.;28.31283333;3.438166667;1.399;13.3075;2.897833333;0.059833333;7.2105;28.23333333;1;0;1;0;0
