VPNCode,AGE,WORK,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Mittlere_Reife_(Realschulabschluss),Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Master,Edu_Doktortitel,AILiteracy[Use],AILiteracy[Kno],AILiteracy[Det],AILiteracy[Eth],PGAT,NGAT,CMV,NEO[E],NEO[A],NEO[C],NEO[N],NEO[O],JC1[IStR],JC1[HRJD],SE1,SDT1[AUT],SDT1[COM],PROD1,TASKDIF1,MANI1,JC2[IStR],JC2[HRJD],SE2,SDT2[AUT],SDT2[COM],PROD2,TASKDIF2,MANI2,total_time,syst_total_time,time_demogr,time_pers,time_task1,time_survey1,time_task2,time_survey2
ZZEBA0308,25.0,100.0,False,True,False,False,False,True,False,False,5.0,4.666666666666667,4.333333333333333,2.5,5.0,4.0,3.6666666666666665,4.25,2.75,5.0,4.25,4.0,3.6,5.0,10.0,4,4,3,4,"Ich musste ein one pager erstellen für ein workshop. Hierfür hatte ich als Hilfsmittel Chatgpt und nutzte promts um einen Text zu verfassen,",2.2,1.75,100.0,5,1,1,1,"Ich sollte eine Kommunikationsstrategie entwickeln für das Unternehmen, damit die Mitarbeiter ein besseres Verständnis über Nachhaltigkeit erhalten. Hierfür habe ich keine Hilfsmittel benutzt.",35.75,21.029833333333332,4.679333333333333,1.3353333333333335,6.123166666666666,4.870666666666667,0.05366666666666667,3.9676666666666667
ZZNRO406,30.0,100.0,False,True,False,False,False,True,False,False,3.3333333333333335,4.666666666666667,3.3333333333333335,4.0,3.6666666666666665,4.666666666666667,3.6666666666666665,3.0,3.25,3.75,3.25,4.0,2.4,3.5,75.0,2,4,4,3,"Ich musste bei der Gestaltung eines Vorstandstreffens unterstützen und einen Plan entwickeln. Digitale Transformation war das Thema und zur Hilfe standen mit Informationen zum Thema und zusätzliche Frage, die ich mir stellen konnte/sollte.",3.8,4.0,10.0,2,4,2,3,"Mir stand ein generatives Textprogramm zur Verfügung, um einen Plan zu entwickeln. Es ging darum in einem einwöchigen Programm Nachhaltigkeit in der Firma zu besprechen und zu kommunizieren.",29.083333333333332,29.11116666666667,4.026833333333333,1.1076666666666666,9.116833333333334,4.5355,6.9505,3.3738333333333332
ZZSSA0301,22.0,0.0,False,True,False,False,True,False,False,False,5.0,4.5,3.6666666666666665,4.0,4.333333333333333,1.6666666666666667,5.0,3.5,3.0,4.0,2.25,4.0,3.2,2.25,20.0,3,3,3,2,"Ich musste zunächst das Problem verstehen und dann Schlüsselpunkte identifizieren, um es zu lösen. Es war ziemlich verwirrend, aber ich habe mein Bestes gegeben.",4.2,4.25,55.0,5,5,5,3,"Ich musste zunächst schnell die gegebene Situation einschätzen und dann suchte ich ein wenig Hilfe von KI um mich durch die Situation zu führen. Dabei verwendete ich Fragen um sicherzustellen, dass meine Antwort direkt und präzise war.",25.5,25.566,5.850666666666667,1.538,3.9443333333333332,4.9975000000000005,2.7871666666666663,6.448333333333333
ZZAWA0212,22.0,100.0,True,False,False,False,True,False,False,False,5.0,4.833333333333333,5.0,4.5,4.0,2.6666666666666665,2.6666666666666665,3.25,2.5,4.0,2.75,4.4,2.4,5.0,10.0,2,4,4,4,Einen One Pager zu einer Informationsveranstaltung verfassen. Hilfsmittel ChatGPT.,2.2,5.0,5.0,2,3,4,4,Einen One Pager zu einer einwöchigen Klimastrategie verfassen. Hilfsmittel ChatGPT.,20.75,20.772666666666666,3.89,1.5015,5.711333333333333,3.5515,0.06766666666666667,6.050666666666667
ZZKO1608,37.0,100.0,True,False,False,False,False,True,False,False,4.166666666666667,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,2.75,2.5,3.25,2.5,2.8,3.8,3.25,60.0,3,4,4,2,Man muss der KI Inhalt noch mehr Beispiele nennen und man kann ein Chatbot als Hilfsmittel verwenden.,3.6,3.5,70.0,3,3,4,2,ich muss nur paar Sätzen an der KI Hilfsmittel angeben und dann abwarten. Allerdings dauert es ein bisschen länger als ich gedacht habe.,19.733333333333334,19.773666666666667,4.368833333333333,0.8716666666666666,5.2283333333333335,3.0875,0.07433333333333333,6.143
ZZNWA1604,32.0,100.0,True,False,True,False,False,False,False,False,4.5,4.333333333333333,4.0,3.5,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,3.75,3.75,3.0,3.6,3.8,2.25,100.0,5,5,3,2,In der vorherigen Aufgabe musste ich ein Konzept zur Nachhaltigkeit im Unternehmen erstellen. Dies sollte in einem Meeting vorgestellt werden und auf einige Fragen eingegangen werden. Als Hilfsmittel wurden mir Ziele und Fragen zur Verfügung gestellt.,4.0,4.5,10.0,3,4,5,4,Ich habe mithilfe von ChatGPT eine Präsentation erstellen müssen. ChatGPT hat mir geholfen die Präsentation a) zu erstellen und b) in die gewünschte Richtung zu leiten.,34.86666666666667,34.89516666666667,4.1405,1.2511666666666665,14.063666666666668,5.800666666666667,0.08483333333333333,9.554333333333334
ZZALA3008,29.0,100.0,False,True,False,False,True,False,False,False,3.6666666666666665,4.0,3.3333333333333335,3.5,3.6666666666666665,2.6666666666666665,3.6666666666666665,3.0,3.25,3.25,2.75,3.2,3.6,4.25,50.0,4,4,3,4,"Ich wurde gefragt, ob ich spontan bei einem Vorstandsmeeting aushelfen könnte. Ein Konzept für eine eintägige Veranstaltung für Führungskräfte wurde angefragt. 12 Minuten Zeitlimit und eine KI standen mir zu Verfügung.",3.6,3.75,80.0,4,3,4,2,"Ich wurde gefragt ob ich spontan Zeit habe, für ein Vorstandsmeeting auszuhelfen. Ich sollte eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen, planen.
Mit 12 Minuten Zeitdruck und ohne Hilfsmittel.",32.15,32.21183333333333,5.1146666666666665,1.4091666666666667,7.72,7.944333333333334,1.2738333333333334,8.749833333333333
ZZUVI2004,30.0,100.0,True,False,False,False,False,False,True,False,4.333333333333333,4.166666666666667,4.333333333333333,5.0,4.0,3.3333333333333335,5.0,3.5,3.0,4.0,3.5,4.0,4.6,5.0,60.0,4,5,4,3,Organisirien innerhalb eines zeitrahmens von 12 minuten ein meeting über den Einsatz von KI-Modellen in geschäftslösungen.,4.4,4.0,50.0,3,4,3,4,"organisierte eine Vorstandssitzung über nachhaltigkeit, ihre Entwicklung und die Praktiken, die übernommen werden können.",21.35,21.433833333333332,2.4136666666666664,0.8635,3.1420000000000003,3.4285,0.3365,11.249666666666666
ZZAUL2008,22.0,23.0,True,False,False,False,True,False,False,False,5.0,5.0,5.0,4.5,3.6666666666666665,2.6666666666666665,4.666666666666667,3.75,4.5,4.5,2.5,3.8,1.8,1.0,100.0,1,4,4,1,"Ich musste ein einwöchiges Kommunikationskonzept für ""meine Firma"" schreiben, welches Nachhaltigkeit als Kernpunkt beinhaltet. Dieses Konzept sollte soweit ausgefeilt sein, dass ich es jetzt in einem Vorstandsmeeting mit den anderen Vorständen präsentieren kann.",5.0,5.0,0.0,1,1,4,3,"Ich sollte eine Veranstaltung für Führungskräfte planen.
Diese Veranstaltung sollte unvergesslich sein.
Bei der Veranstaltung sollte die Digitalisierung besprochen werden.",32.583333333333336,32.611666666666665,5.902833333333334,1.1608333333333334,10.621666666666666,4.2335,0.7206666666666667,9.972166666666668
ZZRHA2012,26.0,10.0,False,True,False,False,False,True,False,False,5.0,4.0,3.0,2.5,4.0,2.6666666666666665,3.6666666666666665,3.75,3.0,3.75,2.75,3.4,3.2,3.5,100.0,4,5,5,4,"ich sollte eine Veranstaltung für Führungskräfte eines Untenehmens entwerfen, die über den Einsatz von KI informiert. Über Einsätze von Hilfmitteln war ich mir nicht bewusst und daher habe ich auch keine verwendet.",4.6,5.0,20.0,3,3,4,4,,19.116666666666667,19.17716666666667,2.8136666666666668,1.0935,8.2955,3.5176666666666665,1.43,2.0268333333333333
