VPNCode,AGE,WORK,AILiteracy[Use1],AILiteracy[Use2],AILiteracy[Use3],AILiteracy[Use4],AILiteracy[Use5],AILiteracy[Use6],AILiteracy[Kno1],AILiteracy[Kno2],AILiteracy[Kno3],AILiteracy[Kno4],AILiteracy[Kno5],AILiteracy[Kno6],AILiteracy[Det1],AILiteracy[Det2],AILiteracy[Det3],AILiteracy[Eth1],AILiteracy[Eth3],PGAT[PGAT1],PGAT[PGAT2],PGAT[PGAT3],NGAT[NGAT1],NGAT[NGAT2],NGAT[NGAT3],CMV[SQ001],CMV[SQ002],CMV[SQ003],NEO[E1R],NEO[E2],NEO[E3R],NEO[E4],NEO[V1R],NEO[V2],NEO[V3R],NEO[V4R],NEO[G1],NEO[G2R],NEO[G3],NEO[G4],NEO[N1],NEO[N2R],NEO[N3],NEO[N4],NEO[O1],NEO[O2],NEO[O3],NEO[O4],NEO[O5R],JC1[IStR1],JC1[IStR2],JC1[IStR3],JC1[IStR4],JC1[IStR5],JC1[HRJD1],JC1[HRJD2],JC1[HRJD3],JC1[ICJD1],SE1,SDT1[SDT1],SDT1[SDT2],TASKDIF1[SQ001],PROD1[SQ001],MANI1,JC2[2IStR1],JC2[2IStR2],JC2[2IStR3],JC2[2IStR4],JC2[2IStR5],JC2[2HRJD1],JC2[2HRJD2],JC2[2HRJD5],JC2[2HRJD6],SE2,SDT2[2SDT1],SDT2[2SDT2],TASKDIF2[SQ001],PROD2[SQ001],MANI2,interviewtime,groupTime531,groupTime532,groupTime534,groupTime533,groupTime535,groupTime536,total_time,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Doktortitel,Edu_Master,Edu_Mittlere_Reife_(Realschulabschluss)
ZZEBA0308,25.0,100.0,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,3,2,5,5,5,4,5,3,3,4,4,5,5,5,2,2,4,3,2,5,5,5,5,5,2,5,5,4,5,5,5,1,3,4,3,3,5,5,5,5,5,10.0,4,4,4,3,"Ich musste ein one pager erstellen für ein workshop. Hierfür hatte ich als Hilfsmittel Chatgpt und nutzte promts um einen Text zu verfassen,",3,3,2,2,1,2,1,2,2,100.0,5,1,1,1,"Ich sollte eine Kommunikationsstrategie entwickeln für das Unternehmen, damit die Mitarbeiter ein besseres Verständnis über Nachhaltigkeit erhalten. Hierfür habe ich keine Hilfsmittel benutzt.",21.029833333333332,4.679333333333333,1.3353333333333335,6.123166666666666,4.870666666666667,0.05366666666666667,3.9676666666666667,35.75,False,True,False,False,True,False,False,False
ZZNRO406,30.0,100.0,2,4,4,4,4,2,5,3,5,5,5,5,3,3,4,4,4,4,4,3,4,5,5,4,4,3,4,3,3,2,4,1,4,4,5,4,3,3,4,1,5,3,4,5,5,5,1,3,2,1,3,3,4,2,4,4,75.0,2,4,3,4,"Ich musste bei der Gestaltung eines Vorstandstreffens unterstützen und einen Plan entwickeln. Digitale Transformation war das Thema und zur Hilfe standen mit Informationen zum Thema und zusätzliche Frage, die ich mir stellen konnte/sollte.",4,4,4,3,4,5,2,5,4,10.0,2,4,3,2,"Mir stand ein generatives Textprogramm zur Verfügung, um einen Plan zu entwickeln. Es ging darum in einem einwöchigen Programm Nachhaltigkeit in der Firma zu besprechen und zu kommunizieren.",29.11116666666667,4.026833333333333,1.1076666666666666,9.116833333333334,4.5355,6.9505,3.3738333333333332,29.083333333333332,False,True,False,False,True,False,False,False
ZZSSA0301,22.0,0.0,5,5,5,5,5,5,5,5,5,4,3,5,5,3,3,3,5,4,4,5,2,1,2,5,5,5,3,4,4,3,2,3,4,3,4,4,4,4,1,4,2,2,5,4,5,5,1,3,3,3,2,5,2,2,3,2,20.0,3,3,2,3,"Ich musste zunächst das Problem verstehen und dann Schlüsselpunkte identifizieren, um es zu lösen. Es war ziemlich verwirrend, aber ich habe mein Bestes gegeben.",4,5,4,3,5,4,4,5,4,55.0,5,5,3,5,"Ich musste zunächst schnell die gegebene Situation einschätzen und dann suchte ich ein wenig Hilfe von KI um mich durch die Situation zu führen. Dabei verwendete ich Fragen um sicherzustellen, dass meine Antwort direkt und präzise war.",25.566,5.850666666666667,1.538,3.9443333333333332,4.9975000000000005,2.7871666666666663,6.448333333333333,25.5,False,True,False,True,False,False,False,False
ZZAWA0212,22.0,100.0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,3,4,5,4,1,3,3,3,2,3,4,1,5,2,2,3,3,4,3,5,4,2,5,2,2,5,5,5,5,2,2,2,2,3,3,5,5,5,5,10.0,2,4,4,4,Einen One Pager zu einer Informationsveranstaltung verfassen. Hilfsmittel ChatGPT.,2,2,2,2,3,5,5,5,5,5.0,2,3,4,4,Einen One Pager zu einer einwöchigen Klimastrategie verfassen. Hilfsmittel ChatGPT.,20.772666666666666,3.89,1.5015,5.711333333333333,3.5515,0.06766666666666667,6.050666666666667,20.75,True,False,False,True,False,False,False,False
ZZKO1608,37.0,100.0,5,4,4,4,4,4,3,3,3,4,5,4,3,3,4,3,3,2,3,5,3,3,4,3,4,4,2,3,3,3,2,4,1,3,4,2,3,4,1,4,2,3,4,2,3,3,2,4,3,4,4,4,4,3,3,3,60.0,3,4,2,4,Man muss der KI Inhalt noch mehr Beispiele nennen und man kann ein Chatbot als Hilfsmittel verwenden.,4,3,3,4,4,3,4,4,3,70.0,3,3,2,4,ich muss nur paar Sätzen an der KI Hilfsmittel angeben und dann abwarten. Allerdings dauert es ein bisschen länger als ich gedacht habe.,19.773666666666667,4.368833333333333,0.8716666666666666,5.2283333333333335,3.0875,0.07433333333333333,6.143,19.733333333333334,True,False,False,False,True,False,False,False
ZZNWA1604,32.0,100.0,5,4,4,5,5,4,5,5,4,5,3,4,4,4,4,3,4,4,3,3,5,2,3,2,4,2,3,3,4,2,4,3,4,4,4,4,3,4,2,4,4,2,5,3,3,5,2,4,4,3,4,4,2,2,3,2,100.0,5,5,2,3,In der vorherigen Aufgabe musste ich ein Konzept zur Nachhaltigkeit im Unternehmen erstellen. Dies sollte in einem Meeting vorgestellt werden und auf einige Fragen eingegangen werden. Als Hilfsmittel wurden mir Ziele und Fragen zur Verfügung gestellt.,2,5,4,5,4,4,5,4,5,10.0,3,4,4,5,Ich habe mithilfe von ChatGPT eine Präsentation erstellen müssen. ChatGPT hat mir geholfen die Präsentation a) zu erstellen und b) in die gewünschte Richtung zu leiten.,34.89516666666667,4.1405,1.2511666666666665,14.063666666666668,5.800666666666667,0.08483333333333333,9.554333333333334,34.86666666666667,True,False,True,False,False,False,False,False
ZZALA3008,29.0,100.0,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,2,2,4,4,3,3,3,3,3,2,3,4,4,3,3,3,4,2,3,3,3,3,4,3,4,2,4,3,3,4,4,5,4,4,4,50.0,4,4,4,3,"Ich wurde gefragt, ob ich spontan bei einem Vorstandsmeeting aushelfen könnte. Ein Konzept für eine eintägige Veranstaltung für Führungskräfte wurde angefragt. 12 Minuten Zeitlimit und eine KI standen mir zu Verfügung.",3,3,4,4,4,3,4,4,4,80.0,4,3,2,4,"Ich wurde gefragt ob ich spontan Zeit habe, für ein Vorstandsmeeting auszuhelfen. Ich sollte eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen, planen.
Mit 12 Minuten Zeitdruck und ohne Hilfsmittel.",32.21183333333333,5.1146666666666665,1.4091666666666667,7.72,7.944333333333334,1.2738333333333334,8.749833333333333,32.15,False,True,False,True,False,False,False,False
ZZUVI2004,30.0,100.0,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,5,5,4,3,5,4,3,3,5,5,5,3,4,3,4,1,5,4,2,4,4,4,4,3,3,4,4,5,4,5,5,1,5,5,5,5,3,5,5,5,5,60.0,4,5,3,4,Organisirien innerhalb eines zeitrahmens von 12 minuten ein meeting über den Einsatz von KI-Modellen in geschäftslösungen.,4,5,4,4,5,4,4,4,4,50.0,3,4,4,3,"organisierte eine Vorstandssitzung über nachhaltigkeit, ihre Entwicklung und die Praktiken, die übernommen werden können.",21.433833333333332,2.4136666666666664,0.8635,3.1420000000000003,3.4285,0.3365,11.249666666666666,21.35,True,False,False,False,False,False,True,False
ZZAUL2008,22.0,23.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,5,4,1,3,4,5,5,3,5,3,4,5,3,5,5,5,5,5,3,2,5,1,2,4,5,4,4,2,1,1,1,1,5,1,1,1,1,100.0,1,4,1,4,"Ich musste ein einwöchiges Kommunikationskonzept für ""meine Firma"" schreiben, welches Nachhaltigkeit als Kernpunkt beinhaltet. Dieses Konzept sollte soweit ausgefeilt sein, dass ich es jetzt in einem Vorstandsmeeting mit den anderen Vorständen präsentieren kann.",5,5,5,5,5,5,5,5,5,0.0,1,1,3,4,"Ich sollte eine Veranstaltung für Führungskräfte planen.
Diese Veranstaltung sollte unvergesslich sein.
Bei der Veranstaltung sollte die Digitalisierung besprochen werden.",32.611666666666665,5.902833333333334,1.1608333333333334,10.621666666666666,4.2335,0.7206666666666667,9.972166666666668,32.583333333333336,True,False,False,True,False,False,False,False
ZZRHA2012,26.0,10.0,5,5,5,5,5,5,3,3,3,5,5,5,4,4,1,2,3,3,4,5,2,3,3,4,4,3,5,4,4,2,3,4,4,1,4,1,5,5,2,4,2,3,4,3,3,4,3,3,2,5,4,2,3,4,4,3,100.0,4,5,4,5,"ich sollte eine Veranstaltung für Führungskräfte eines Untenehmens entwerfen, die über den Einsatz von KI informiert. Über Einsätze von Hilfmitteln war ich mir nicht bewusst und daher habe ich auch keine verwendet.",5,5,5,4,4,5,5,5,5,20.0,3,3,4,4,,19.17716666666667,2.8136666666666668,1.0935,8.2955,3.5176666666666665,1.43,2.0268333333333333,19.116666666666667,False,True,False,False,True,False,False,False
